seed,phase,pulse,event_file,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV,both_reset_full_event_equivalence,bypass_full_event_equivalence
1704,train,3,s1704_train03.parquet,1.5,2171,2134,2469,0.5941355413228604,0.5069862106627613,2,44.49999999999999,-51.99999775431056,6.441853856547591e-26,0,,-51.99999983487145,-2.8615638793086123e-27,0,,-51.99999971332871,1.8727792408597757e-29,,
1704,train,4,s1704_train04.parquet,2.0,2171,2134,2461,0.5539026757999684,0.4813608376579523,1,51.2999999999999,-51.99999809506144,1.0922207342808512e-26,0,,-52.00000004331231,-5.8693639142636e-27,0,,-51.99999998926026,2.5178239984220946e-35,,
1704,train,5,s1704_train05.parquet,2.5,2171,2134,2438,0.5307158794540887,0.4665529348160151,1,55.600000000000094,-51.99999827914581,-2.4424299028854298e-26,0,,-52.00000003903571,-2.0766672629235988e-27,0,,-51.99999999807045,4.529848279590856e-38,,
1704,train,6,s1704_train06.parquet,3.0,2171,2134,2425,0.5173171348800628,0.4579735286410067,1,57.50000000000011,-51.99999810883072,3.155937945627856e-26,0,,-52.00000001622567,-1.092911072288109e-28,0,,-51.99999999760772,1.0704759402779955e-37,,
1704,train,7,s1704_train07.parquet,3.5,2171,2134,2417,0.5095541671483865,0.4529899636418091,1,59.600000000000094,-51.999998469739765,-2.696609863798935e-26,0,,-52.00000003959059,-3.0198110369508628e-27,0,,-51.999999997369336,1.5653404708286257e-37,,
1704,train,8,s1704_train08.parquet,4.0,2171,2134,2416,0.5050448510618983,0.4500877911500263,1,59.89999999999984,-51.99999862160769,-3.4521548060820886e-26,0,,-52.00000003997031,-3.1438866772476533e-27,0,,-51.99999999707813,2.382388018055143e-37,,
1704,train,9,s1704_train09.parquet,4.5,2171,2134,2418,0.5024188567977386,0.448393494621393,1,60.20000000000003,-51.99999881458696,-9.018886837542622e-26,0,,-52.000000025368365,-6.866791806196882e-28,0,,-51.99999999703397,2.529706665622717e-37,,
1704,train,10,s1704_train10.parquet,5.0,2171,2134,2412,0.5008857939013827,0.4474019244561286,1,60.0000000000005,-51.99999829737312,2.4283553702859623e-26,0,,-52.00000002836386,-1.0657778186721707e-27,0,,-51.99999999698915,2.686134989597604e-37,,
1704,train,11,s1704_train11.parquet,5.5,2171,2134,2410,0.4999885841132434,0.4468202074892747,1,60.0000000000005,-51.999998221483935,4.478785331154598e-26,0,,-52.00000002843993,-1.0657792762137477e-27,0,,-51.99999999701911,2.580810130142913e-37,,
1704,sham,-1,s1704_sham.parquet,6.0,2171,2134,2419,0.4994622248349275,0.4464781160131059,1,60.10000000000026,-51.99999839864444,-3.1023643868081436e-26,0,,-52.00000002638784,-7.899535933183492e-28,0,,-51.99999999701911,2.580810130142913e-37,,
1704,resource_reset,-1,s1704_resource_reset.parquet,6.0,2171,2134,2854,1.0,0.7637997828872689,8,16.000000000000014,-51.99999839864444,-3.1023643868081436e-26,1,54.89999999999995,-52.00000002638784,-7.899535933183492e-28,2,41.700000000000514,-51.99999999701911,2.580810130142913e-37,,
1704,fast_reset,-1,s1704_fast_reset.parquet,6.0,2171,2134,2419,0.4994622248349275,0.4464781160131059,1,60.10000000000026,-52.0,0.0,0,,-52.0,0.0,0,,-52.0,0.0,,
1704,both_reset,-1,s1704_both_reset.parquet,6.0,2171,2134,2854,1.0,0.7637997828872689,8,16.000000000000014,-52.0,0.0,1,54.89999999999995,-52.0,0.0,2,41.700000000000514,-52.0,0.0,True,
1704,trained_bypass,-1,s1704_trained_bypass.parquet,6.0,0,0,66,0.4994622248349275,0.5691831444133699,10,0.1000000000006551,-51.99999839864444,-3.1023643868081436e-26,2,66.69999999999999,-52.00000002638784,-7.899535933183492e-28,3,44.70000000000063,-51.99999999701911,2.580810130142913e-37,,True
1705,naive_bypass,-1,s1705_naive_bypass.parquet,0.0,0,0,66,1.0,1.0,10,0.1,-52.0,0.0,2,66.7,-52.0,0.0,3,44.7,-52.0,0.0,,
1705,train,0,s1705_train00.parquet,0.0,2094,2065,2797,1.0,0.770189427282069,8,31.200000000000003,-52.0,0.0,1,175.2,-52.0,0.0,2,88.00000000000001,-52.0,0.0,,
1705,train,1,s1705_train01.parquet,0.5,2094,2065,2595,0.7920587947445421,0.6373565101719413,5,61.30000000000002,-52.00000013267044,-4.662264033273001e-26,0,,-51.99999734107773,4.374484131618545e-25,1,185.70000000000007,-51.999995508121685,6.04549332144932e-25,,
1705,train,2,s1705_train02.parquet,1.0,2094,2065,2470,0.6718666009964297,0.5604023925769953,3,77.50000000000013,-51.999997716770096,2.7286422259623605e-26,0,,-51.99999830045784,1.0440400909342092e-26,0,,-52.0,0.0,,
1705,train,3,s1705_train03.parquet,1.5,2094,2065,2423,0.6022356359245831,0.5157193828971142,1,162.50000000000009,-51.99999834967924,3.111177941532995e-26,0,,-51.99999902660402,3.320793464185911e-27,0,,-51.99999864122577,4.78288209021167e-27,,
1705,train,4,s1705_train04.parquet,2.0,2094,2065,2403,0.5618047768157636,0.4897158963266444,1,155.10000000000002,-51.9999976134658,1.0396706724040043e-25,0,,-51.99999965814069,-2.3455381694064766e-28,0,,-51.999999498747854,2.064395642752265e-28,,
1705,train,5,s1705_train05.parquet,2.5,2094,2065,2396,0.5382758491674071,0.4745490982444018,1,162.10000000000014,-51.99999763764871,5.625367382761643e-26,0,,-51.99999976705592,-9.796555402127575e-29,0,,-51.99999965376784,4.699342520257393e-29,,
1705,train,6,s1705_train06.parquet,3.0,2094,2065,2362,0.5245523627507979,0.4656831670211658,1,175.5,-51.999998004792445,6.097230962027901e-26,0,,-51.99999966763093,-4.944986508231386e-28,0,,-51.99999950867331,1.9056773632339606e-28,,
1705,train,7,s1705_train07.parquet,3.5,2094,2065,2366,0.5165301364342808,0.4604889700932715,1,178.20000000000036,-51.99999817970357,1.009314225166288e-25,0,,-51.99999932309054,1.5759272776575998e-27,0,,-51.999999039831465,2.7794482134615624e-27,,
1705,train,8,s1705_train08.parquet,4.0,2094,2065,2365,0.5118302326972745,0.4574391649328108,1,178.30000000000013,-51.99999847845562,1.0236537203672392e-25,0,,-51.99999923566345,4.717872567695176e-28,0,,-51.99999890105184,4.7695522073874926e-27,,
1705,train,9,s1705_train09.parquet,4.5,2094,2065,2362,0.5090706548703705,0.4556445054558708,1,179.30000000000047,-51.999998496211866,9.909079869703988e-26,0,,-51.99999923216946,3.578226436004388e-28,0,,-51.99999889554334,4.8659035533042915e-27,,
1705,train,10,s1705_train10.parquet,5.0,2094,2065,2362,0.5074467798230022,0.4545861157549068,1,181.50000000000065,-51.99999856449377,9.97471354365952e-26,0,,-51.999999190218034,1.3338942087547636e-27,0,,-51.99999883891666,5.9432280209472366e-27,,
1705,train,11,s1705_train11.parquet,5.5,2094,2065,2357,0.5064891092187063,0.4539605675992227,0,,-51.999998597736585,9.625209422449708e-26,0,,-51.99999909206832,3.429690663449812e-27,0,,-51.999998703908176,9.228093049383623e-27,,
1705,sham,-1,s1705_sham.parquet,6.0,2094,2065,2351,0.5059230898406598,0.4535900351748193,0,,-51.99999734143912,7.656658253137285e-26,0,,-52.00000001538438,-4.4593755513255765e-29,0,,-51.99999999999894,3.432920725748814e-70,,
1705,resource_reset,-1,s1705_resource_reset.parquet,6.0,2094,2065,2797,1.0,0.7701894272820689,8,31.20000000000012,-51.99999734143912,7.656658253137285e-26,1,175.20000000000024,-52.00000001538438,-4.4593755513255765e-29,2,88.00000000000009,-51.99999999999894,3.432920725748814e-70,,
1705,fast_reset,-1,s1705_fast_reset.parquet,6.0,2094,2065,2351,0.5059230898406598,0.4535900351748193,0,,-52.0,0.0,0,,-52.0,0.0,0,,-52.0,0.0,,
1705,both_reset,-1,s1705_both_reset.parquet,6.0,2094,2065,2797,1.0,0.7701894272820689,8,31.20000000000012,-52.0,0.0,1,175.20000000000024,-52.0,0.0,2,88.00000000000009,-52.0,0.0,True,
1705,trained_bypass,-1,s1705_trained_bypass.parquet,6.0,0,0,66,0.5059230898406598,0.5747440624584091,10,0.1000000000006551,-51.99999734143912,7.656658253137285e-26,2,66.69999999999999,-52.00000001538438,-4.4593755513255765e-29,3,44.70000000000063,-51.99999999999894,3.432920725748814e-70,,True
