condition,model,seed,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
new_seed_control,std,2701,recovery,-1,5000.0,10.8,2060,2024,2650,0.9553176378860816,0.742594564228175,7,25.900000000000038,-51.99999999999894,-1.23516e-319,0,,-52.00000000000032,-1.23516e-319,1,101.2000000000004,-51.99999999999894,1.23516e-319
new_seed_control,std,2702,train,0,0.0,0.0,2068,2041,2741,1.0,0.7700359244972754,9,23.4,-52.0,0.0,2,59.00000000000001,-52.0,0.0,3,43.9,-52.0,0.0
new_seed_control,std,2702,train,1,0.0,0.5,2068,2041,2539,0.7919198996810881,0.6373376527204206,5,29.49999999999997,-51.99999792688336,1.51226631770474e-25,1,84.50000000000001,-51.99999857193795,1.2756626267818075e-26,1,80.20000000000005,-51.99999796132064,2.9445400471115703e-26
new_seed_control,std,2702,train,2,0.0,1.0,2068,2041,2434,0.671849538068685,0.560572212330054,4,35.500000000000085,-51.99999724974381,2.212673234390729e-26,0,,-51.99999997867679,-4.676003324893138e-27,0,,-51.99999989787243,1.6726841646615575e-31
new_seed_control,std,2702,train,3,0.0,1.5,2068,2041,2395,0.6023892951914722,0.516052898601042,2,48.30000000000001,-51.99999744583439,1.1018480356949657e-25,0,,-51.99999989155287,-4.3381620753254726e-27,0,,-51.99999978720015,4.3494973976539465e-30
new_seed_control,std,2702,train,4,0.0,2.0,2068,2041,2376,0.56210655430418,0.4901705700642083,1,71.80000000000008,-51.99999838603395,-4.370486290071959e-26,0,,-52.00000001028283,-9.002491716885236e-29,0,,-51.9999999896497,1.8668746272144616e-35
new_seed_control,std,2702,train,5,0.0,2.5,2068,2041,2349,0.5386872549781532,0.4750863477354572,1,72.99999999999996,-51.99999814384119,1.7384597121356098e-26,0,,-52.000000039196,-3.914882333799512e-27,0,,-51.99999999462276,2.7333234796293056e-36
new_seed_control,std,2702,train,6,0.0,3.0,2068,2041,2340,0.5250384861931258,0.4662737892071246,1,74.50000000000001,-51.99999824282976,-1.705613117981108e-27,0,,-52.000000011334585,-6.232311625582776e-29,0,,-51.99999999429026,3.474735151032303e-36
new_seed_control,std,2702,train,7,0.0,3.5,2068,2041,2329,0.5170645534880585,0.4611127467554495,1,76.00000000000007,-51.9999984949325,-1.7793272266760432e-26,0,,-52.00000002192965,-6.207358374654809e-28,0,,-51.99999999384559,4.6904018476148905e-36
new_seed_control,std,2702,train,8,0.0,4.0,2068,2041,2337,0.5123946491617106,0.4580828507485575,1,77.20000000000039,-51.99999797919482,5.593229081807529e-26,0,,-52.00000002569664,-1.1534260714115543e-27,0,,-51.999999993366295,6.331380245073723e-36
new_seed_control,std,2702,train,9,0.0,4.5,2068,2041,2331,0.5096530858819173,0.4562997622077129,1,77.60000000000034,-51.99999833955344,-1.6207943646254302e-26,0,,-51.99999996520861,-2.330865541177009e-28,0,,-51.99999999295612,8.048761756911704e-36
new_seed_control,std,2702,train,10,0.0,5.0,2068,2041,2343,0.5080396806504898,0.4552478627199627,1,78.89999999999998,-51.99999799944175,6.531631949727529e-26,0,,-52.000000027864914,-1.5889307292692946e-27,0,,-51.99999999281383,8.71911952205923e-36
new_seed_control,std,2702,train,11,0.0,5.5,2068,2041,2338,0.5070878826339604,0.4546258002675266,1,79.20000000000016,-51.99999869845738,-8.259850571560558e-26,0,,-52.0000000328448,-3.071267427340198e-27,0,,-51.99999999233123,1.1308088437393506e-35
new_seed_control,std,2702,recovery,-1,1000.0,6.8,2068,2041,2433,0.6692138268460135,0.5583630017979808,4,34.80000000000061,-51.99999999999894,-2.7194357972887935e-95,0,,-52.00000000000032,-1.105403499460176e-96,0,,-51.99999999999894,3.911377748086269e-105
new_seed_control,std,2702,recovery,-1,5000.0,10.8,2068,2041,2709,0.95523295956545,0.7413891095502448,9,24.200000000000443,-51.99999999999894,-1.23516e-319,1,64.39999999999912,-52.00000000000032,-1.23516e-319,2,44.99999999999993,-51.99999999999894,1.23516e-319
new_seed_control,std,2703,train,0,0.0,0.0,2060,2037,2760,1.0,0.7632366729030894,9,18.500000000000004,-52.0,0.0,2,55.2,-52.0,0.0,3,40.1,-52.0,0.0
new_seed_control,std,2703,train,1,0.0,0.5,2060,2037,2539,0.785767682424028,0.6280980576623443,6,28.60000000000007,-51.99999898401596,5.295479554226784e-26,0,,-51.99999819313453,4.293398841777359e-26,0,,-51.999997459010935,6.307222526255635e-26
new_seed_control,std,2703,train,2,0.0,1.0,2060,2037,2442,0.6634892067326372,0.5507217975439451,2,33.20000000000012,-51.99999898290333,5.436902776689064e-26,0,,-51.99999836931719,4.701435557039218e-26,0,,-51.999997726129806,6.551383200289161e-26
new_seed_control,std,2703,train,3,0.0,1.5,2060,2037,2385,0.5934762713098263,0.5062823898345217,2,35.70000000000007,-51.99999777205032,-3.5972907096337333e-26,0,,-52.00000004991541,-6.4083586836425935e-27,0,,-51.99999999234957,7.284034021120805e-36
new_seed_control,std,2703,train,4,0.0,2.0,2060,2037,2353,0.5532658323789842,0.4806829195814138,2,38.000000000000256,-51.99999799739574,4.304578936517744e-26,0,,-52.000000014832885,-3.855537566992853e-27,0,,-51.999999957970005,9.372343718545767e-33
new_seed_control,std,2703,train,5,0.0,2.5,2060,2037,2350,0.5301024738120738,0.4658929731958639,1,40.5000000000002,-51.99999848388165,-2.6209649228508296e-26,0,,-51.99999995820072,-2.376372931882773e-28,0,,-51.9999999140536,1.70334304008903e-31
new_seed_control,std,2703,train,6,0.0,3.0,2060,2037,2334,0.5167199769116825,0.4573236507387849,1,41.90000000000005,-51.999998037479976,4.823693167290577e-26,0,,-52.00000003773879,-2.468090900212369e-27,0,,-51.99999999887541,5.2240530112787184e-39
new_seed_control,std,2703,train,7,0.0,3.5,2060,2037,2340,0.5089661333053015,0.4523446465012166,1,43.80000000000006,-51.999998268033416,2.279450675444214e-26,0,,-52.000000015850375,-1.0049640040042779e-28,0,,-51.999999998793896,6.91210028045404e-39
new_seed_control,std,2703,train,8,0.0,4.0,2060,2037,2336,0.5044609439665901,0.4494437859099487,1,44.500000000000206,-51.99999801655952,5.275966414325894e-26,0,,-52.00000001743452,-1.499227496100611e-28,0,,-51.99999999867373,1.0107457720731933e-38
