model,seed,interval_ms,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
static,1701,2000.0,train,9,0.0,18.0,2125,2100,3040,1.0,1.0,10,19.50000000000074,-51.99999999999894,1.0035715511794286e-155,2,76.29999999999981,-51.99999999999894,4.1763309104305373e-156,3,66.0000000000025,-51.99999999999894,3.458537398254186e-156
static,1701,2000.0,train,10,0.0,20.0,2125,2100,3040,1.0,1.0,10,19.50000000000074,-51.99999999999894,1.0035715511794286e-155,2,76.29999999999981,-51.99999999999894,4.1763309104305373e-156,3,66.0000000000025,-51.99999999999894,3.458537398254186e-156
static,1701,2000.0,train,11,0.0,22.0,2125,2100,3040,1.0,1.0,10,19.50000000000074,-51.99999999999894,1.0035715511794286e-155,2,76.29999999999981,-51.99999999999894,4.1763309104305373e-156,3,66.0000000000025,-51.99999999999894,3.458537398254186e-156
static,1701,2000.0,recovery,-1,2000.0,24.3,2125,2100,3040,1.0,1.0,10,19.50000000000074,-51.99999999999894,8.787785089037362e-182,2,76.29999999999981,-51.99999999999894,3.6570086565761664e-182,3,65.99999999999895,-51.99999999999894,3.028471995099654e-182
static,1701,2000.0,recovery,-1,10000.0,32.3,2125,2100,3040,1.0,1.0,10,19.500000000007844,-51.99999999999894,1.23516e-319,2,76.30000000000337,-51.99999999999894,1.23516e-319,3,66.0000000000025,-51.99999999999894,1.23516e-319
static,1702,500.0,train,0,0.0,0.0,2080,2054,2916,1.0,1.0,10,18.9,-52.0,0.0,3,60.1,-52.0,0.0,4,40.400000000000006,-52.0,0.0
static,1702,500.0,train,1,0.0,0.5,2080,2054,2916,1.0,1.0,10,18.900000000000027,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000005,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,2,0.0,1.0,2080,2054,2916,1.0,1.0,10,18.90000000000014,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000005,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,3,0.0,1.5,2080,2054,2916,1.0,1.0,10,18.90000000000014,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000005,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,4,0.0,2.0,2080,2054,2916,1.0,1.0,10,18.89999999999992,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,5,0.0,2.5,2080,2054,2916,1.0,1.0,10,18.89999999999992,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,6,0.0,3.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,7,0.0,3.5,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
